room,capacity,papers,fill_pct,n_clusters,avg_paper_similarity,clusters
Room 1,700,700,100.0,133,0.2807,"18, 24, 30, 32, 41, 42, 48, 50, 52, 71, 87, 123, 132, 135, 138, 141, 145, 154, 155, 156, 161, 162, 168, 169, 171, 172, 178, 179, 180, 185, 186, 188, 192, 196, 204, 210, 219, 220, 228, 231, 232, 234, 235, 238, 248, 253, 254, 255, 260, 262, 263, 271, 274, 286, 288, 289, 290, 298, 305, 308, 309, 314, 315, 318, 319, 321, 324, 325, 326, 329, 331, 352, 355, 357, 358, 360, 362, 363, 364, 367, 368, 372, 373, 374, 375, 377, 380, 384, 385, 386, 387, 388, 389, 390, 392, 393, 395, 396, 398, 399, 400, 404, 406, 407, 410, 411, 412, 415, 419, 433, 437, 440, 445, 448, 459, 462, 463, 466, 476, 477, 479, 480, 483, 484, 486, 487, 492, 500, 502, 503, 506, 512, 523"
Room 2,600,600,100.0,63,0.324,"124, 137, 146, 147, 148, 149, 150, 151, 153, 157, 187, 189, 221, 224, 229, 236, 256, 283, 292, 294, 295, 296, 297, 299, 301, 303, 306, 312, 313, 316, 322, 323, 378, 381, 382, 383, 391, 401, 403, 405, 408, 413, 414, 416, 417, 418, 420, 471, 496, 499, 501, 504, 505, 508, 510, 513, 514, 515, 519, 520, 522, 524, 529"
Room 3,550,550,100.0,60,0.3574,"81, 89, 92, 114, 181, 191, 227, 230, 233, 244, 247, 249, 250, 252, 258, 259, 261, 265, 273, 277, 278, 311, 327, 328, 330, 335, 337, 340, 341, 344, 345, 347, 348, 354, 356, 365, 366, 376, 409, 429, 432, 434, 435, 436, 439, 441, 442, 444, 446, 453, 467, 473, 474, 478, 481, 482, 488, 490, 493, 526"
Room 4,500,500,100.0,71,0.3258,"4, 11, 16, 17, 27, 29, 31, 33, 37, 38, 40, 43, 51, 57, 62, 63, 64, 66, 67, 68, 69, 73, 74, 75, 78, 79, 80, 83, 84, 85, 86, 88, 91, 93, 96, 104, 105, 106, 107, 108, 109, 112, 120, 122, 125, 127, 131, 134, 159, 160, 164, 165, 166, 167, 173, 174, 190, 193, 200, 202, 203, 206, 207, 216, 241, 242, 272, 287, 300, 351, 421"
Room 5,450,450,100.0,43,0.3632,"8, 9, 14, 15, 22, 26, 34, 35, 36, 39, 44, 45, 53, 56, 58, 59, 100, 102, 110, 113, 136, 139, 143, 144, 170, 175, 176, 184, 194, 208, 212, 215, 237, 240, 243, 246, 257, 268, 269, 338, 346, 426, 464"
Room 6,425,425,100.0,32,0.3153,"133, 152, 158, 163, 182, 183, 205, 209, 211, 239, 264, 266, 267, 270, 281, 291, 293, 302, 304, 307, 310, 317, 320, 334, 397, 402, 475, 494, 497, 511, 518, 525"
Room 7,400,400,100.0,21,0.4239,"101, 119, 276, 280, 336, 350, 371, 423, 424, 425, 428, 430, 447, 450, 455, 461, 468, 469, 472, 489, 491"
Room 8,380,380,100.0,19,0.3448,"47, 49, 142, 225, 226, 343, 359, 361, 369, 370, 379, 394, 470, 495, 498, 507, 509, 516, 527"
Room 9,350,350,100.0,27,0.3802,"25, 28, 55, 126, 128, 129, 130, 177, 245, 279, 284, 285, 332, 333, 427, 431, 438, 443, 449, 451, 452, 454, 456, 457, 458, 465, 485"
Room 10,320,320,100.0,17,0.388,"1, 3, 10, 13, 21, 23, 76, 94, 98, 103, 117, 140, 198, 214, 218, 353, 460"
Room 11,300,300,100.0,19,0.4263,"2, 19, 20, 46, 54, 61, 97, 99, 115, 116, 118, 121, 213, 222, 223, 275, 282, 342, 349"
Room 12,311,311,100.0,24,0.3808,"5, 6, 7, 12, 60, 65, 70, 72, 77, 82, 90, 95, 111, 195, 197, 199, 201, 217, 251, 339, 422, 517, 521, 528"
