seed,objective,similarity,restarts,seconds
0,8189.3794,0.3411,39,60.01
1,8181.6543,0.3462,41,60.43
2,8299.649,0.3395,42,62.03
3,8282.482,0.3454,41,60.97
4,8111.984,0.3412,41,60.88
5,8306.148,0.3411,41,60.36
6,8200.937,0.337,41,60.92
7,8146.9473,0.3442,42,60.1
8,8159.0337,0.341,39,60.7
9,8088.5376,0.342,40,60.77
10,8262.979,0.3441,45,61.31
11,8166.6914,0.3457,40,60.15
12,8124.813,0.3416,42,60.14
13,8268.973,0.3462,39,60.97
14,8152.0874,0.343,43,60.41
15,8007.605,0.3417,41,62.03
16,8131.647,0.3418,39,60.03
17,8181.8174,0.3488,39,61.16
18,8187.572,0.3481,35,60.19
19,8076.18,0.342,39,60.85
