seed,objective,similarity,trajectories,steps,seconds
0,8228.316,0.3429,1,375,60.11
1,7405.164,0.3504,1,383,60.08
2,7643.2295,0.3536,1,360,60.15
3,8279.699,0.3456,1,377,60.12
4,7355.5264,0.3504,1,370,60.05
5,7964.0015,0.345,1,376,60.01
6,7452.548,0.3511,1,378,60.1
7,7599.3394,0.3504,1,380,60.07
8,7426.3906,0.3452,1,389,60.05
9,7391.3535,0.3518,1,364,60.05
10,7620.1167,0.3488,1,368,60.06
11,7422.8706,0.3488,1,374,60.03
12,7322.6846,0.3491,1,368,60.09
13,6886.025,0.3534,1,369,60.13
14,7923.851,0.3456,1,394,60.07
15,7875.2607,0.3465,1,377,60.14
16,7566.4863,0.3476,1,378,60.09
17,7138.733,0.3525,1,363,60.13
18,7672.103,0.3473,1,382,60.03
19,7741.603,0.3467,1,379,60.12
