Number,cluster,room
29297,211,Room 8
29260,195,Room 4
29227,227,Room 1
29206,432,Room 1
29190,343,Room 7
29188,320,Room 10
29184,322,Room 1
29178,511,Room 10
29164,341,Room 3
29157,382,Room 6
29127,423,Room 8
29119,87,Room 2
29103,455,Room 9
29077,525,Room 10
29040,311,Room 5
29032,388,Room 2
29019,137,Room 2
29012,431,Room 12
29010,15,Room 4
28978,275,Room 9
28972,318,Room 1
28967,285,Room 4
28959,10,Room 8
28951,115,Room 9
28946,270,Room 10
28928,168,Room 1
28905,276,Room 9
28899,489,Room 8
28895,181,Room 12
28893,405,Room 6
28891,409,Room 1
28885,480,Room 1
28882,351,Room 1
28857,332,Room 10
28854,322,Room 1
28853,430,Room 6
28844,358,Room 2
28840,256,Room 3
28834,513,Room 10
28826,193,Room 2
28819,257,Room 5
28793,47,Room 8
28786,429,Room 1
28779,246,Room 5
28764,361,Room 11
28761,449,Room 9
28756,460,Room 9
28751,210,Room 2
28718,336,Room 8
28714,322,Room 1
28710,330,Room 3
28707,94,Room 7
28683,350,Room 11
28666,83,Room 6
28660,264,Room 4
28647,203,Room 2
28632,461,Room 7
28624,516,Room 7
28604,353,Room 8
28592,235,Room 1
28586,357,Room 2
28577,226,Room 11
28568,464,Room 3
28560,235,Room 1
28554,144,Room 4
28540,434,Room 5
28539,130,Room 9
28508,402,Room 12
28493,444,Room 5
28488,488,Room 5
28478,513,Room 10
28463,352,Room 1
28454,159,Room 2
28444,250,Room 3
28441,513,Room 10
28422,221,Room 3
28415,371,Room 11
28407,265,Room 3
28389,473,Room 1
28386,454,Room 9
28364,211,Room 8
28363,333,Room 10
28359,47,Room 8
28346,304,Room 12
28338,338,Room 8
28329,498,Room 7
28310,498,Room 7
28300,512,Room 1
28295,429,Room 1
28272,73,Room 2
28266,483,Room 1
28258,227,Room 1
28254,446,Room 1
28249,61,Room 10
28241,427,Room 8
28240,331,Room 1
28235,160,Room 1
28232,345,Room 1
28229,401,Room 2
28221,310,Room 9
28220,216,Room 3
28216,523,Room 1
28196,103,Room 8
28190,233,Room 1
28189,338,Room 8
28184,464,Room 3
28174,221,Room 3
28172,127,Room 6
28167,396,Room 1
28165,491,Room 9
28162,495,Room 7
28156,327,Room 3
28153,302,Room 12
28144,77,Room 4
28137,424,Room 8
28132,520,Room 3
28110,198,Room 9
28109,336,Room 8
28108,188,Room 6
28102,161,Room 1
28100,190,Room 2
28099,229,Room 3
28089,507,Room 7
28079,247,Room 3
28077,450,Room 7
28073,191,Room 6
28060,162,Room 2
28059,346,Room 5
28050,400,Room 2
28044,212,Room 3
28024,380,Room 1
28021,188,Room 6
28019,336,Room 8
28013,499,Room 1
28010,506,Room 1
28009,526,Room 1
28004,103,Room 8
27986,473,Room 1
27980,179,Room 1
27977,439,Room 5
27970,75,Room 3
27949,217,Room 4
27930,344,Room 3
27920,485,Room 5
27919,94,Room 7
27917,180,Room 1
27915,147,Room 6
27879,276,Room 9
27878,310,Room 9
27867,406,Room 1
27866,520,Room 3
27859,448,Room 1
27850,103,Room 8
27836,165,Room 2
27826,285,Room 4
27813,212,Room 3
27803,270,Room 10
27785,342,Room 10
27778,23,Room 11
27776,79,Room 3
27775,472,Room 8
27771,171,Room 2
27764,354,Room 5
27760,397,Room 12
27756,183,Room 12
27755,29,Room 2
27750,512,Room 1
27743,323,Room 1
27725,471,Room 7
27711,153,Room 3
27705,239,Room 5
27696,308,Room 1
27690,201,Room 4
27667,241,Room 2
27661,434,Room 5
27658,352,Room 1
27649,186,Room 1
27648,244,Room 3
27631,359,Room 7
27624,211,Room 8
27616,26,Room 3
27595,237,Room 4
27594,273,Room 5
27591,203,Room 2
27574,499,Room 1
27569,132,Room 2
27560,397,Room 12
27544,491,Room 9
27539,235,Room 1
27534,335,Room 5
27527,329,Room 1
27525,458,Room 9
27519,445,Room 9
27495,300,Room 2
27463,285,Room 4
27457,528,Room 5
27455,508,Room 12
27445,128,Room 12
27433,98,Room 10
27429,421,Room 10
27428,427,Room 8
27403,426,Room 6
27389,429,Room 1
27385,458,Room 9
27372,93,Room 2
27357,195,Room 4
27341,78,Room 3
27332,199,Room 5
27330,469,Room 8
27326,448,Room 1
27310,46,Room 4
27289,450,Room 7
27282,381,Room 6
27280,457,Room 4
27266,380,Room 1
27257,156,Room 1
27256,434,Room 5
27252,485,Room 5
27245,186,Room 1
27231,424,Room 8
27228,211,Room 8
27225,214,Room 9
