room,capacity,papers,fill_pct,n_clusters,avg_paper_similarity,clusters
Room 1,700,700,100.0,117,0.3022,"16, 24, 81, 135, 141, 150, 156, 160, 161, 164, 168, 178, 179, 180, 185, 186, 227, 228, 230, 231, 232, 233, 234, 235, 238, 248, 249, 263, 272, 283, 288, 298, 303, 308, 309, 313, 315, 317, 318, 319, 321, 322, 323, 324, 325, 326, 329, 331, 345, 351, 352, 355, 360, 363, 367, 368, 373, 374, 375, 377, 380, 384, 385, 386, 387, 392, 393, 395, 396, 398, 399, 404, 406, 409, 410, 412, 415, 416, 418, 419, 420, 429, 432, 433, 437, 440, 442, 446, 448, 459, 462, 463, 466, 473, 476, 477, 478, 479, 480, 482, 483, 484, 486, 487, 490, 492, 493, 499, 500, 502, 503, 504, 505, 506, 512, 523, 526"
Room 2,600,600,100.0,102,0.2989,"4, 11, 17, 18, 25, 29, 30, 31, 32, 33, 34, 35, 37, 40, 41, 42, 43, 48, 50, 51, 52, 53, 57, 62, 66, 67, 68, 69, 71, 73, 85, 86, 87, 88, 93, 104, 105, 106, 107, 109, 120, 122, 123, 131, 132, 137, 138, 145, 154, 155, 159, 162, 165, 166, 167, 169, 170, 171, 172, 173, 174, 175, 190, 192, 193, 196, 200, 202, 203, 204, 207, 210, 219, 220, 241, 242, 253, 254, 255, 259, 260, 262, 271, 274, 286, 287, 289, 290, 300, 305, 314, 356, 357, 358, 362, 364, 388, 389, 390, 400, 401, 403"
Room 3,550,550,100.0,61,0.3548,"2, 14, 22, 26, 27, 38, 45, 56, 58, 59, 63, 75, 78, 79, 80, 84, 89, 91, 92, 96, 100, 102, 108, 112, 113, 143, 153, 194, 206, 212, 215, 216, 221, 229, 243, 244, 247, 250, 252, 256, 258, 265, 268, 277, 281, 294, 296, 327, 328, 330, 337, 340, 341, 344, 347, 348, 436, 456, 464, 519, 520"
Room 4,500,500,100.0,40,0.38,"5, 7, 8, 9, 12, 15, 20, 36, 39, 44, 46, 60, 65, 70, 72, 77, 99, 101, 110, 111, 114, 139, 144, 152, 176, 187, 195, 197, 201, 217, 218, 222, 237, 264, 266, 267, 285, 297, 411, 457"
Room 5,450,450,100.0,41,0.3662,"129, 136, 146, 184, 199, 208, 239, 240, 245, 246, 257, 261, 269, 273, 278, 292, 311, 334, 335, 346, 354, 365, 408, 422, 434, 435, 439, 441, 443, 444, 447, 451, 453, 474, 481, 485, 488, 521, 524, 528, 529"
Room 6,425,425,100.0,42,0.2737,"74, 83, 124, 125, 127, 134, 147, 148, 149, 151, 157, 188, 191, 236, 295, 299, 301, 306, 312, 316, 349, 366, 376, 378, 379, 381, 382, 383, 391, 405, 407, 413, 414, 417, 426, 430, 467, 496, 501, 510, 514, 522"
Room 7,400,400,100.0,21,0.3777,"54, 94, 119, 282, 343, 359, 372, 425, 428, 450, 461, 468, 470, 471, 475, 495, 498, 507, 509, 516, 527"
Room 8,380,380,100.0,19,0.3493,"3, 6, 10, 13, 21, 47, 76, 103, 117, 211, 336, 338, 353, 423, 424, 427, 469, 472, 489"
Room 9,350,350,100.0,23,0.402,"19, 28, 97, 115, 118, 121, 130, 198, 209, 213, 214, 275, 276, 280, 310, 438, 445, 449, 454, 455, 458, 460, 491"
Room 10,320,320,100.0,22,0.3713,"55, 61, 64, 82, 90, 95, 98, 116, 270, 284, 320, 332, 333, 339, 342, 421, 452, 494, 511, 513, 517, 525"
Room 11,300,300,100.0,17,0.3159,"23, 49, 126, 133, 140, 142, 223, 225, 226, 291, 350, 361, 369, 370, 371, 394, 518"
Room 12,311,311,100.0,24,0.2847,"1, 128, 158, 163, 177, 181, 182, 183, 189, 205, 224, 251, 279, 293, 302, 304, 307, 397, 402, 431, 465, 497, 508, 515"
