seed,objective,similarity,restarts,subsolves,seconds
0,8280.142,0.3353,1,1082,60.01
1,7661.3594,0.3393,1,661,60.0
2,8028.0625,0.3402,1,783,60.02
3,8326.368,0.3341,1,769,60.05
4,7700.3945,0.3353,1,630,60.0
5,7950.4966,0.3359,2,919,60.05
6,7973.3,0.3419,1,899,60.03
7,7720.8086,0.3291,1,537,60.0
8,7687.7646,0.3336,1,764,60.01
9,7567.004,0.337,1,587,60.02
10,7911.988,0.3397,1,746,60.04
11,8248.096,0.3371,1,877,60.0
12,7680.6006,0.3402,1,680,60.02
13,7042.342,0.3384,1,495,60.05
14,8231.176,0.341,1,979,60.05
15,8174.3584,0.3401,1,741,60.04
16,7858.665,0.3403,1,720,60.0
17,7681.964,0.3349,1,636,60.0
18,8075.6313,0.3381,1,851,60.0
19,8062.392,0.3366,1,723,60.0
