room,capacity,papers,fill_pct,n_clusters,avg_paper_similarity,clusters
Room 1,700,700,100.0,107,0.3213,"83, 93, 108, 178, 179, 180, 186, 227, 228, 230, 231, 232, 233, 234, 235, 236, 238, 244, 248, 249, 259, 262, 263, 272, 277, 283, 308, 309, 312, 315, 318, 319, 321, 324, 326, 329, 330, 331, 344, 345, 347, 351, 352, 356, 357, 358, 360, 363, 366, 367, 368, 372, 373, 374, 375, 376, 380, 384, 387, 390, 395, 396, 398, 399, 400, 406, 407, 409, 410, 412, 419, 420, 426, 429, 432, 433, 437, 440, 442, 445, 446, 448, 459, 462, 463, 466, 467, 473, 476, 477, 478, 479, 480, 482, 483, 484, 486, 487, 490, 492, 493, 500, 502, 503, 512, 523, 526"
Room 2,600,600,100.0,106,0.2778,"11, 16, 17, 18, 24, 25, 29, 30, 31, 32, 33, 37, 40, 41, 42, 43, 48, 50, 51, 52, 62, 64, 66, 67, 68, 69, 71, 73, 78, 81, 85, 86, 87, 88, 96, 104, 106, 107, 109, 122, 123, 132, 135, 138, 141, 145, 150, 154, 155, 156, 159, 160, 161, 162, 164, 165, 166, 168, 169, 171, 172, 173, 174, 185, 190, 192, 193, 196, 200, 202, 203, 204, 207, 210, 219, 220, 241, 242, 253, 254, 255, 260, 271, 274, 286, 287, 288, 289, 290, 294, 298, 305, 314, 325, 355, 362, 385, 386, 388, 389, 392, 401, 403, 404, 495, 506"
Room 3,550,550,100.0,61,0.3574,"4, 14, 26, 27, 34, 35, 38, 44, 45, 53, 56, 57, 58, 59, 63, 74, 75, 79, 80, 84, 89, 91, 100, 102, 105, 112, 113, 114, 120, 125, 131, 143, 144, 167, 170, 175, 176, 191, 194, 206, 208, 212, 215, 216, 221, 243, 247, 250, 252, 256, 258, 265, 300, 327, 328, 337, 341, 346, 364, 436, 464"
Room 4,500,500,100.0,40,0.4121,"2, 5, 6, 7, 8, 9, 12, 15, 20, 22, 23, 36, 39, 46, 55, 60, 65, 70, 72, 77, 82, 90, 92, 95, 110, 111, 136, 217, 218, 237, 240, 267, 338, 339, 411, 421, 422, 517, 518, 521"
Room 5,450,450,100.0,41,0.3607,"129, 184, 211, 224, 229, 239, 246, 257, 261, 268, 269, 273, 278, 279, 281, 292, 293, 311, 335, 340, 348, 354, 365, 408, 434, 435, 439, 441, 444, 451, 453, 457, 471, 474, 481, 488, 508, 522, 524, 528, 529"
Room 6,425,425,100.0,45,0.2989,"124, 127, 134, 137, 147, 148, 149, 151, 153, 157, 188, 295, 296, 299, 301, 303, 306, 313, 316, 322, 323, 349, 378, 379, 381, 382, 383, 391, 405, 413, 414, 415, 416, 417, 418, 496, 499, 501, 504, 505, 510, 514, 515, 519, 520"
Room 7,400,400,100.0,21,0.4201,"94, 97, 225, 282, 336, 377, 424, 425, 428, 430, 447, 450, 461, 469, 470, 472, 489, 498, 507, 509, 527"
Room 8,380,380,100.0,19,0.3676,"1, 3, 10, 13, 21, 76, 98, 101, 103, 119, 133, 140, 214, 343, 353, 423, 427, 468, 516"
Room 9,350,350,100.0,23,0.4251,"19, 28, 54, 61, 99, 115, 116, 117, 118, 121, 198, 213, 222, 264, 266, 275, 276, 280, 317, 342, 454, 458, 460"
Room 10,320,320,100.0,24,0.3566,"177, 245, 285, 310, 332, 333, 334, 393, 397, 431, 438, 443, 449, 452, 455, 456, 465, 475, 485, 491, 497, 511, 513, 525"
Room 11,300,300,100.0,17,0.3178,"47, 49, 130, 142, 209, 223, 226, 291, 350, 359, 361, 369, 370, 371, 394, 402, 494"
Room 12,311,311,100.0,25,0.3284,"126, 128, 139, 146, 152, 158, 163, 181, 182, 183, 187, 189, 195, 197, 199, 201, 205, 251, 270, 284, 297, 302, 304, 307, 320"
