seed,objective,similarity,iterations,seconds
0,8233.26,0.3435,138,60.41
1,7411.7344,0.3504,124,60.19
2,7691.921,0.3541,114,60.74
3,8286.033,0.3457,126,60.06
4,7424.353,0.3551,126,60.27
5,7977.6914,0.3473,124,60.52
6,7487.021,0.3513,134,60.13
7,7569.076,0.3494,120,60.2
8,7468.397,0.3463,134,60.21
9,7395.6143,0.3524,115,60.44
10,7608.2583,0.3484,123,60.73
11,7444.887,0.348,110,60.57
12,7302.2666,0.3509,112,60.3
13,6933.7646,0.3551,114,60.49
14,7926.014,0.3455,131,60.07
15,7921.3433,0.3464,113,60.4
16,7544.327,0.3496,121,60.12
17,7141.248,0.352,117,60.39
18,7676.143,0.3476,114,60.22
19,7764.7446,0.3477,116,60.25
