Number,cluster,room
29297,211,Room 6
29260,195,Room 5
29227,227,Room 3
29206,432,Room 3
29190,343,Room 10
29188,320,Room 6
29184,322,Room 4
29178,511,Room 12
29164,341,Room 3
29157,382,Room 4
29127,423,Room 10
29119,87,Room 1
29103,455,Room 11
29077,525,Room 12
29040,311,Room 3
29032,388,Room 1
29019,137,Room 6
29012,431,Room 7
29010,15,Room 5
28978,275,Room 11
28972,318,Room 4
28967,285,Room 7
28959,10,Room 9
28951,115,Room 9
28946,270,Room 12
28928,168,Room 1
28905,276,Room 12
28899,489,Room 9
28895,181,Room 6
28893,405,Room 4
28891,409,Room 4
28885,480,Room 1
28882,351,Room 6
28857,332,Room 7
28854,322,Room 4
28853,430,Room 9
28844,358,Room 1
28840,256,Room 4
28834,513,Room 4
28826,193,Room 1
28819,257,Room 3
28793,47,Room 8
28786,429,Room 3
28779,246,Room 3
28764,361,Room 10
28761,449,Room 8
28756,460,Room 8
28751,210,Room 1
28718,336,Room 10
28714,322,Room 4
28710,330,Room 3
28707,94,Room 9
28683,350,Room 11
28666,83,Room 2
28660,264,Room 8
28647,203,Room 1
28632,461,Room 9
28624,516,Room 10
28604,353,Room 11
28592,235,Room 1
28586,357,Room 1
28577,226,Room 9
28568,464,Room 3
28560,235,Room 1
28554,144,Room 2
28540,434,Room 3
28539,130,Room 11
28508,402,Room 12
28493,444,Room 3
28488,488,Room 3
28478,513,Room 4
28463,352,Room 1
28454,159,Room 2
28444,250,Room 3
28441,513,Room 4
28422,221,Room 3
28415,371,Room 9
28407,265,Room 2
28389,473,Room 3
28386,454,Room 8
28364,211,Room 6
28363,333,Room 7
28359,47,Room 8
28346,304,Room 12
28338,338,Room 7
28329,498,Room 10
28310,498,Room 10
28300,512,Room 4
28295,429,Room 3
28272,73,Room 2
28266,483,Room 3
28258,227,Room 3
28254,446,Room 3
28249,61,Room 5
28241,427,Room 7
28240,331,Room 1
28235,160,Room 2
28232,345,Room 3
28229,401,Room 4
28221,310,Room 12
28220,216,Room 2
28216,523,Room 4
28196,103,Room 9
28190,233,Room 4
28189,338,Room 7
28184,464,Room 3
28174,221,Room 3
28172,127,Room 2
28167,396,Room 4
28165,491,Room 12
28162,495,Room 1
28156,327,Room 2
28153,302,Room 12
28144,77,Room 5
28137,424,Room 10
28132,520,Room 4
28110,198,Room 9
28109,336,Room 10
28108,188,Room 3
28102,161,Room 1
28100,190,Room 1
28099,229,Room 6
28089,507,Room 11
28079,247,Room 2
28077,450,Room 8
28073,191,Room 8
28060,162,Room 1
28059,346,Room 2
28050,400,Room 4
28044,212,Room 2
28024,380,Room 1
28021,188,Room 3
28019,336,Room 10
28013,499,Room 4
28010,506,Room 4
28009,526,Room 3
28004,103,Room 9
27986,473,Room 3
27980,179,Room 1
27977,439,Room 3
27970,75,Room 2
27949,217,Room 5
27930,344,Room 3
27920,485,Room 7
27919,94,Room 9
27917,180,Room 1
27915,147,Room 6
27879,276,Room 12
27878,310,Room 12
27867,406,Room 1
27866,520,Room 4
27859,448,Room 1
27850,103,Room 9
27836,165,Room 1
27826,285,Room 7
27813,212,Room 2
27803,270,Room 12
27785,342,Room 8
27778,23,Room 9
27776,79,Room 2
27775,472,Room 9
27771,171,Room 1
27764,354,Room 6
27760,397,Room 7
27756,183,Room 6
27755,29,Room 1
27750,512,Room 4
27743,323,Room 4
27725,471,Room 7
27711,153,Room 4
27705,239,Room 7
27696,308,Room 4
27690,201,Room 12
27667,241,Room 1
27661,434,Room 3
27658,352,Room 1
27649,186,Room 1
27648,244,Room 3
27631,359,Room 10
27624,211,Room 6
27616,26,Room 2
27595,237,Room 5
27594,273,Room 7
27591,203,Room 1
27574,499,Room 4
27569,132,Room 4
27560,397,Room 7
27544,491,Room 12
27539,235,Room 1
27534,335,Room 3
27527,329,Room 1
27525,458,Room 8
27519,445,Room 1
27495,300,Room 4
27463,285,Room 7
27457,528,Room 6
27455,508,Room 7
27445,128,Room 7
27433,98,Room 11
27429,421,Room 5
27428,427,Room 7
27403,426,Room 2
27389,429,Room 3
27385,458,Room 8
27372,93,Room 2
27357,195,Room 5
27341,78,Room 2
27332,199,Room 6
27330,469,Room 10
27326,448,Room 1
27310,46,Room 5
27289,450,Room 8
27282,381,Room 6
27280,457,Room 7
27266,380,Room 1
27257,156,Room 4
27256,434,Room 3
27252,485,Room 7
27245,186,Room 1
27231,424,Room 10
27228,211,Room 6
27225,214,Room 8
27223,469,Room 10
27217,254,Room 1
27212,455,Room 11
27208,524,Room 3
27186,470,Room 11
27174,295,Room 4
27164,447,Room 8
27155,517,Room 5
27154,342,Room 8
27145,264,Room 8
27144,259,Room 3
27141,54,Room 11
27137,507,Room 11
27132,342,Room 8
27131,454,Room 8
27118,310,Room 12
27116,199,Room 6
27105,343,Room 10
27102,287,Room 1
27096,148,Room 4
27091,510,Room 6
27079,115,Room 9
27078,416,Room 4
27069,250,Room 3
27058,518,Room 12
27054,425,Room 9
27031,465,Room 7
27027,282,Room 10
27023,454,Room 8
27022,73,Room 2
27019,442,Room 3
27018,313,Room 4
26995,435,Room 3
26989,513,Room 4
26988,36,Room 2
26983,524,Room 3
26976,20,Room 5
26975,434,Room 3
26972,251,Room 12
26970,436,Room 3
26963,461,Room 9
26953,89,Room 3
26950,144,Room 2
26941,332,Room 7
26919,121,Room 8
26907,33,Room 1
26906,133,Room 12
26889,190,Room 1
26875,21,Room 9
26871,92,Room 2
26867,319,Room 4
26858,439,Room 3
26844,152,Room 6
26841,193,Room 1
26837,28,Room 8
26829,132,Room 4
26828,82,Room 5
26821,83,Room 2
26818,381,Room 6
26814,516,Room 10
26812,133,Room 12
26805,330,Room 3
26804,455,Room 11
26786,418,Room 4
26773,513,Room 4
26763,343,Room 10
26762,198,Room 9
26755,448,Room 1
26754,474,Room 3
26751,173,Room 2
26744,438,Room 8
26729,494,Room 12
26718,316,Room 4
26703,276,Room 12
26696,526,Room 3
26694,291,Room 11
26688,394,Room 11
26683,188,Room 3
26655,14,Room 2
26641,31,Room 2
26621,47,Room 8
26620,516,Room 10
26612,42,Room 1
26609,521,Room 6
26598,430,Room 9
26587,139,Room 6
26577,298,Room 1
26571,525,Room 12
26561,214,Room 8
26560,320,Room 6
26557,59,Room 2
26556,431,Room 7
26547,137,Room 6
26534,453,Room 3
26527,28,Room 8
26518,227,Room 3
26515,281,Room 7
26513,320,Room 6
26507,467,Room 3
26506,268,Room 3
26503,370,Room 10
26501,66,Room 2
26500,495,Room 1
26496,495,Room 1
26489,149,Room 6
26484,167,Room 2
26473,349,Room 6
26468,365,Room 3
26465,506,Room 4
26459,268,Room 3
26453,363,Room 1
26444,39,Room 5
26432,397,Room 7
26424,270,Room 12
26414,354,Room 6
26409,230,Room 3
26408,137,Room 6
26403,5,Room 5
26399,369,Room 10
26398,449,Room 8
26397,485,Room 7
26381,423,Room 10
26371,516,Room 10
26368,516,Room 10
26366,101,Room 8
26358,506,Room 4
26356,347,Room 3
26348,361,Room 10
26347,447,Room 8
26329,450,Room 8
26328,148,Room 4
26318,84,Room 2
26314,129,Room 7
26303,416,Room 4
26290,91,Room 2
26284,519,Room 2
26277,279,Room 7
26276,525,Room 12
26252,35,Room 2
26249,407,Room 4
26248,197,Room 8
26247,467,Room 3
26234,455,Room 11
26229,20,Room 5
26228,483,Room 3
26223,31,Room 2
26221,92,Room 2
26220,453,Room 3
26214,60,Room 5
26193,524,Room 3
26191,415,Room 4
26181,184,Room 6
26175,383,Room 6
26163,428,Room 10
26150,334,Room 7
26142,401,Room 4
26141,441,Room 3
26133,485,Room 7
26125,36,Room 2
26113,164,Room 4
26106,352,Room 1
26096,84,Room 2
26089,225,Room 11
26082,517,Room 5
26079,310,Room 12
26072,229,Room 6
26070,201,Room 12
26060,438,Room 8
26039,405,Room 4
26029,435,Room 3
26024,142,Room 11
26021,17,Room 1
26020,418,Room 4
26019,352,Room 1
26016,424,Room 10
26011,98,Room 11
26010,206,Room 2
26009,435,Room 3
26007,475,Room 12
26004,196,Room 1
26003,149,Room 6
25993,31,Room 2
25971,148,Room 4
25968,177,Room 7
25967,527,Room 12
25956,160,Room 2
25944,317,Room 4
25943,423,Room 10
25938,298,Room 1
25931,142,Room 11
25926,8,Room 5
25917,470,Room 11
25915,477,Room 1
25892,232,Room 1
25888,13,Room 9
25877,272,Room 1
25872,455,Room 11
25854,117,Room 8
25853,140,Room 11
25851,314,Room 1
25836,319,Room 4
25829,9,Room 2
25819,441,Room 3
25818,461,Room 9
25814,307,Room 12
25783,142,Room 11
25773,402,Room 12
25771,153,Room 4
25770,450,Room 8
25755,460,Room 8
25737,123,Room 1
25722,44,Room 5
25698,304,Room 12
25695,316,Room 4
25686,182,Room 6
25683,87,Room 1
25671,178,Room 2
25657,526,Room 3
25643,288,Room 1
25638,447,Room 8
25625,267,Room 5
25612,353,Room 11
25611,451,Room 7
25607,513,Room 4
25602,57,Room 2
25578,212,Room 2
25568,370,Room 10
25566,251,Room 12
25564,336,Room 10
25563,334,Room 7
25561,188,Room 3
25552,314,Room 1
25551,380,Room 1
25542,197,Room 8
25521,349,Room 6
25520,375,Room 1
25509,500,Room 1
25508,470,Room 11
25505,15,Room 5
25503,446,Room 3
25500,193,Room 1
25499,502,Room 1
25491,477,Room 1
25482,483,Room 3
25480,208,Room 6
25478,77,Room 5
25477,450,Room 8
25465,245,Room 7
25461,301,Room 4
25454,423,Room 10
25452,110,Room 2
25445,147,Room 6
25436,272,Room 1
25431,469,Room 10
25426,311,Room 3
25411,246,Room 3
25404,282,Room 10
25402,463,Room 1
25401,495,Room 1
25396,465,Room 7
25393,376,Room 11
25383,214,Room 8
25379,256,Room 4
25372,492,Room 1
25369,458,Room 8
25361,477,Room 1
25354,394,Room 11
25350,397,Room 7
25343,529,Room 6
25338,308,Room 4
25326,349,Room 6
25323,215,Room 2
25315,361,Room 10
25313,416,Room 4
25310,442,Room 3
25305,129,Room 7
25286,170,Room 2
25273,333,Room 7
25266,77,Room 5
25265,205,Room 6
25264,179,Room 1
25263,478,Room 3
25255,354,Room 6
25245,33,Room 1
25236,369,Room 10
25235,49,Room 11
25227,469,Room 10
25222,326,Room 1
25211,493,Room 3
25201,524,Room 3
25197,205,Room 6
25191,245,Room 7
25176,331,Room 1
25173,354,Room 6
25161,117,Room 8
25145,366,Room 3
25144,323,Room 4
25143,336,Room 10
25138,83,Room 2
25135,427,Room 7
25133,328,Room 3
25128,382,Room 4
25124,471,Room 7
25121,493,Room 3
25116,276,Room 12
25111,143,Room 2
25108,398,Room 1
25105,381,Room 6
25099,522,Room 6
25097,453,Room 3
25091,445,Room 1
25090,377,Room 4
25072,363,Room 1
25061,160,Room 2
25054,199,Room 6
25052,322,Room 4
25043,474,Room 3
25038,461,Room 9
25033,257,Room 3
25032,224,Room 7
25010,369,Room 10
25009,195,Room 5
25003,226,Room 9
25001,417,Room 6
24991,419,Room 1
24989,431,Room 7
24981,195,Room 5
24968,327,Room 2
24962,506,Room 4
24961,394,Room 11
24952,305,Room 4
24951,429,Room 3
24938,419,Room 1
24934,477,Room 1
24921,460,Room 8
24920,529,Room 6
24918,273,Room 7
24915,137,Room 6
24907,114,Room 8
24892,498,Room 10
24888,390,Room 1
24883,370,Room 10
24880,528,Room 6
24872,430,Room 9
24867,353,Room 11
24866,340,Room 3
24864,451,Room 7
24849,429,Room 3
24846,503,Room 4
24844,414,Room 4
24843,498,Room 10
24835,15,Room 5
24820,268,Room 3
24819,287,Room 1
24813,469,Room 10
24811,473,Room 3
24806,381,Room 6
24800,261,Room 3
24798,372,Room 1
24796,58,Room 2
24792,392,Room 1
24791,240,Room 3
24790,115,Room 9
24785,465,Room 7
24781,509,Room 11
24769,202,Room 4
24765,376,Room 11
24764,134,Room 4
24760,229,Room 6
24757,469,Room 10
24755,52,Room 1
24754,200,Room 4
24750,272,Room 1
24749,345,Room 3
24742,296,Room 4
24731,417,Room 6
24723,433,Room 1
24715,34,Room 2
24712,347,Room 3
24710,498,Room 10
24704,428,Room 10
24701,447,Room 8
24699,54,Room 11
24693,369,Room 10
24688,462,Room 1
24686,221,Room 3
24685,462,Room 1
24682,458,Room 8
24676,426,Room 2
24670,121,Room 8
24668,384,Room 1
24659,273,Room 7
24652,165,Room 1
24649,472,Room 9
24648,465,Room 7
24642,94,Room 9
24639,201,Room 12
24637,167,Room 2
24617,258,Room 3
24609,236,Room 3
24604,291,Room 11
24594,175,Room 2
24585,413,Room 4
24582,285,Room 7
24566,343,Room 10
24562,195,Room 5
24561,119,Room 8
24557,296,Room 4
24555,460,Room 8
24554,190,Room 1
24550,90,Room 5
24538,140,Room 11
24516,423,Room 10
24508,60,Room 5
24501,361,Room 10
24496,198,Room 9
24477,511,Room 12
24449,465,Room 7
24445,511,Room 12
24440,264,Room 8
24436,315,Room 4
