room,capacity,papers,fill_pct,n_clusters,avg_paper_similarity,clusters
Room 1,700,700,100.0,135,0.2652,"11, 16, 17, 18, 24, 25, 29, 30, 32, 33, 37, 40, 42, 43, 48, 50, 51, 52, 62, 64, 68, 69, 71, 81, 85, 87, 104, 106, 107, 108, 109, 123, 135, 138, 141, 154, 161, 162, 165, 168, 169, 171, 172, 174, 179, 180, 185, 186, 190, 192, 193, 196, 203, 204, 210, 219, 220, 228, 231, 232, 234, 235, 238, 241, 242, 248, 253, 254, 255, 260, 262, 263, 271, 272, 286, 287, 288, 289, 290, 298, 309, 314, 321, 325, 326, 329, 331, 352, 355, 357, 358, 360, 362, 363, 367, 368, 372, 373, 374, 375, 380, 384, 385, 386, 387, 388, 389, 390, 392, 393, 398, 404, 406, 410, 411, 412, 419, 433, 437, 445, 448, 462, 463, 466, 476, 477, 479, 480, 484, 486, 487, 492, 495, 500, 502"
Room 2,600,600,100.0,68,0.3636,"4, 9, 14, 22, 26, 27, 31, 34, 35, 36, 38, 45, 53, 56, 57, 58, 59, 63, 66, 67, 73, 74, 75, 78, 79, 80, 83, 84, 86, 88, 91, 92, 93, 96, 100, 102, 105, 110, 112, 113, 120, 125, 127, 131, 143, 144, 159, 160, 166, 167, 170, 173, 175, 176, 178, 194, 206, 212, 215, 216, 247, 252, 265, 327, 337, 346, 426, 519"
Room 3,550,550,100.0,59,0.3568,"89, 188, 221, 227, 230, 236, 240, 244, 246, 249, 250, 257, 258, 259, 261, 268, 269, 277, 283, 311, 328, 330, 335, 340, 341, 344, 345, 347, 348, 356, 365, 366, 429, 432, 434, 435, 436, 439, 440, 441, 442, 444, 446, 453, 459, 464, 467, 473, 474, 478, 481, 482, 483, 488, 490, 493, 505, 524, 526"
Room 4,500,500,100.0,64,0.3172,"122, 132, 134, 145, 148, 150, 153, 155, 156, 164, 200, 202, 207, 233, 256, 274, 294, 295, 296, 300, 301, 303, 305, 306, 308, 312, 313, 315, 316, 317, 318, 319, 322, 323, 324, 377, 378, 382, 395, 396, 399, 400, 401, 403, 405, 407, 409, 413, 414, 415, 416, 418, 420, 496, 499, 501, 503, 504, 506, 512, 513, 514, 520, 523"
Room 5,450,450,100.0,34,0.4286,"5, 6, 7, 8, 12, 15, 19, 20, 39, 44, 46, 55, 60, 61, 65, 70, 72, 77, 82, 90, 95, 97, 111, 116, 118, 195, 217, 218, 237, 267, 339, 421, 422, 517"
Room 6,425,425,100.0,39,0.3032,"124, 137, 139, 146, 147, 149, 151, 152, 157, 158, 181, 182, 183, 184, 187, 189, 199, 205, 208, 211, 229, 243, 297, 299, 320, 349, 351, 354, 381, 383, 391, 408, 417, 510, 515, 521, 522, 528, 529"
Room 7,400,400,100.0,33,0.3575,"126, 128, 129, 136, 177, 224, 239, 245, 273, 278, 279, 281, 284, 285, 292, 293, 332, 333, 334, 338, 364, 397, 427, 431, 443, 451, 452, 456, 457, 465, 471, 485, 508"
Room 8,380,380,100.0,24,0.4296,"28, 47, 99, 101, 114, 117, 119, 121, 191, 197, 213, 214, 222, 264, 266, 280, 342, 438, 447, 449, 450, 454, 458, 460"
Room 9,350,350,100.0,18,0.354,"1, 2, 3, 10, 13, 21, 23, 94, 103, 115, 198, 226, 371, 425, 430, 461, 472, 489"
Room 10,320,320,100.0,15,0.3469,"76, 282, 336, 343, 359, 361, 369, 370, 379, 423, 424, 428, 469, 498, 516"
Room 11,300,300,100.0,18,0.3353,"49, 54, 98, 130, 140, 142, 225, 275, 291, 350, 353, 376, 394, 455, 468, 470, 507, 509"
Room 12,311,311,100.0,22,0.3339,"41, 133, 163, 201, 209, 223, 251, 270, 276, 302, 304, 307, 310, 402, 475, 491, 494, 497, 511, 518, 525, 527"
