seed,objective,similarity,generations,seconds
0,8196.19,0.3414,141,60.17
1,8124.972,0.3468,88,60.46
2,8312.051,0.3399,125,60.46
3,8283.038,0.3455,129,60.5
4,7968.2583,0.3497,103,60.05
5,8309.279,0.3412,126,60.08
6,8283.945,0.3405,115,60.43
7,8079.9863,0.3416,108,60.17
8,8087.7334,0.3482,98,60.56
9,8091.2144,0.3421,112,60.01
10,8285.216,0.3452,124,60.1
11,8173.654,0.3436,124,60.29
12,8125.293,0.3415,138,60.35
13,8276.107,0.3463,129,60.16
14,8111.634,0.3434,144,60.05
15,8010.5264,0.3416,134,60.53
16,7936.596,0.3396,108,60.04
17,8136.0825,0.342,127,60.15
18,8139.0825,0.3411,106,60.15
19,8076.18,0.342,110,60.29
