Number,cluster
29297,211
29260,195
29227,227
29206,432
29190,343
29188,320
29184,322
29178,511
29164,341
29157,382
29127,423
29119,87
29103,455
29077,525
29040,311
29032,388
29019,137
29012,431
29010,15
28978,275
28972,318
28967,285
28959,10
28951,115
28946,270
28928,168
28905,276
28899,489
28895,181
28893,405
28891,409
28885,480
28882,351
28857,332
28854,322
28853,430
28844,358
28840,256
28834,513
28826,193
28819,257
28793,47
28786,429
28779,246
28764,361
28761,449
28756,460
28751,210
28718,336
28714,322
28710,330
28707,94
28683,350
28666,83
28660,264
28647,203
28632,461
28624,516
28604,353
28592,235
28586,357
28577,226
28568,464
28560,235
28554,144
28540,434
28539,130
28508,402
28493,444
28488,488
28478,513
28463,352
28454,159
28444,250
28441,513
28422,221
28415,371
28407,265
28389,473
28386,454
28364,211
28363,333
28359,47
28346,304
28338,338
28329,498
28310,498
28300,512
28295,429
28272,73
28266,483
28258,227
28254,446
28249,61
28241,427
28240,331
28235,160
28232,345
28229,401
28221,310
28220,216
28216,523
28196,103
28190,233
28189,338
28184,464
28174,221
28172,127
28167,396
28165,491
28162,495
28156,327
28153,302
28144,77
28137,424
28132,520
28110,198
28109,336
28108,188
28102,161
28100,190
28099,229
28089,507
28079,247
28077,450
28073,191
28060,162
28059,346
28050,400
28044,212
28024,380
28021,188
28019,336
28013,499
28010,506
28009,526
28004,103
27986,473
27980,179
27977,439
27970,75
27949,217
27930,344
27920,485
27919,94
27917,180
27915,147
27879,276
27878,310
27867,406
27866,520
27859,448
27850,103
27836,165
27826,285
27813,212
27803,270
27785,342
27778,23
27776,79
27775,472
27771,171
27764,354
27760,397
27756,183
27755,29
27750,512
27743,323
27725,471
27711,153
27705,239
27696,308
27690,201
27667,241
27661,434
27658,352
27649,186
27648,244
27631,359
27624,211
27616,26
27595,237
27594,273
27591,203
27574,499
27569,132
27560,397
27544,491
27539,235
27534,335
27527,329
27525,458
27519,445
27495,300
27463,285
27457,528
27455,508
27445,128
27433,98
27429,421
27428,427
27403,426
27389,429
27385,458
27372,93
27357,195
27341,78
27332,199
27330,469
27326,448
27310,46
27289,450
27282,381
27280,457
27266,380
27257,156
27256,434
27252,485
27245,186
27231,424
27228,211
27225,214
27223,469
27217,254
27212,455
27208,524
27186,470
27174,295
27164,447
27155,517
27154,342
27145,264
27144,259
27141,54
27137,507
27132,342
27131,454
27118,310
27116,199
27105,343
27102,287
27096,148
27091,510
27079,115
27078,416
27069,250
27058,518
27054,425
27031,465
27027,282
27023,454
27022,73
27019,442
27018,313
26995,435
26989,513
26988,36
26983,524
26976,20
26975,434
26972,251
26970,436
26963,461
26953,89
26950,144
26941,332
26919,121
26907,33
26906,133
26889,190
26875,21
26871,92
26867,319
26858,439
26844,152
26841,193
26837,28
26829,132
26828,82
26821,83
26818,381
26814,516
26812,133
26805,330
26804,455
26786,418
26773,513
26763,343
26762,198
26755,448
26754,474
26751,173
26744,438
26729,494
26718,316
26703,276
26696,526
26694,291
26688,394
26683,188
26655,14
26641,31
26621,47
26620,516
26612,42
26609,521
26598,430
26587,139
26577,298
26571,525
26561,214
26560,320
26557,59
26556,431
26547,137
26534,453
26527,28
26518,227
26515,281
26513,320
26507,467
26506,268
26503,370
26501,66
26500,495
26496,495
26489,149
26484,167
26473,349
26468,365
26465,506
26459,268
26453,363
26444,39
26432,397
26424,270
26414,354
26409,230
26408,137
26403,5
26399,369
26398,449
26397,485
26381,423
26371,516
26368,516
26366,101
26358,506
26356,347
26348,361
26347,447
26329,450
26328,148
26318,84
26314,129
26303,416
26290,91
26284,519
26277,279
26276,525
26252,35
26249,407
26248,197
26247,467
26234,455
26229,20
26228,483
26223,31
26221,92
26220,453
26214,60
26193,524
26191,415
26181,184
26175,383
26163,428
26150,334
26142,401
26141,441
26133,485
26125,36
26113,164
26106,352
26096,84
26089,225
26082,517
26079,310
26072,229
26070,201
26060,438
26039,405
26029,435
26024,142
26021,17
26020,418
26019,352
26016,424
26011,98
26010,206
26009,435
26007,475
26004,196
26003,149
25993,31
25971,148
25968,177
25967,527
25956,160
25944,317
25943,423
25938,298
25931,142
25926,8
25917,470
25915,477
