cluster,size,cohesion,top_terms
1,23,0.824,"motion, 3d, reconstruction, dynamic, scene, gaussian, 4d, camera"
2,15,0.819,"reconstruction, gaussian, 3d, scene, 3dgs, gaussians, surface, occupancy"
3,18,0.798,"rendering, gaussians, gaussian, 3dgs, splatting, 3d, primitives, view"
4,7,0.859,"360, panoramic, circ, video, depth, videos, degree, perspective"
5,12,0.803,"depth, estimation, event, monocular, focus, image, pixel, metric"
6,14,0.794,"lighting, relighting, illumination, light, hdr, image, maps, 3d"
7,12,0.772,"video, 3d, scene, shadow, inpainting, object, objects, geometry"
8,11,0.808,"rendering, nerf, view, 3dgs, 3d, color, fields, scene"
9,11,0.82,"3d, scene, view, scenes, synthesis, generation, views, editing"
10,23,0.756,"3d, pose, human, reconstruction, hand, articulated, object, poses"
11,5,0.771,"radar, sensor, fusion, camera, perception, 3d, ray, driving"
12,12,0.813,"3d, pose, reconstruction, depth, camera, image, rig, geometry"
13,18,0.767,"3d, camera, slam, motion, stitching, pose, tracking, correspondences"
14,10,0.785,"point, cloud, registration, clouds, lidar, masked, self, completion"
15,11,0.784,"lidar, semantic, 3d, point, view, lane, map, localization"
16,6,0.835,"geo, geographic, localization, retrieval, urban, reasoning, location, image"
17,5,0.811,"rs, imagery, remote, sensing, sam, data, vqa, pretraining"
18,4,0.821,"underwater, medium, nerf, media, scene, depth, object, water"
19,16,0.853,"spatial, 3d, reasoning, visual, understanding, mllms, 2d, scene"
20,15,0.816,"egocentric, video, 3d, object, grounding, visual, understanding, world"
21,21,0.782,"3d, object, scene, segmentation, semantic, open, instance, vocabulary"
22,10,0.829,"layout, scenes, object, spatial, 3d, indoor, scene, semantic"
23,16,0.778,"3d, object, parts, reconstruction, objects, volumetric, understanding, scene"
24,4,0.844,"music, arrangement, generation, audio, acoustic, noises, interleaved, instrument"
25,3,0.847,"dance, qr, camera, music, codes, movement, motions, luminance"
26,9,0.826,"audio, speech, video, generation, talking, speaker, lip, synchronization"
27,7,0.792,"speech, emotion, multimodal, emotional, modal, tts, text, tta"
28,14,0.77,"speech, audio, speaker, acoustic, streaming, time, omni, auditory"
29,6,0.852,"audio, reasoning, sound, editing, language, dataset, af, caption"
30,4,0.755,"audio, acoustic, propagation, sound, versa, auditory, positions, synthetic"
31,7,0.798,"spatial, gene, tissue, expression, cellular, transcriptomics, 3d, st"
32,3,0.856,"ray, ct, imaging, completeness, anatomical, 3d, reconstruction, patient"
33,6,0.782,"imaging, mri, transport, medical, clinical, measurements, images, reconstruction"
34,9,0.779,"segmentation, medical, sam, anatomical, tissue, image, topological, images"
35,10,0.755,"medical, anatomical, regions, channel, attention, pathology, imaging, patch"
36,11,0.757,"mil, wsi, pathology, slide, images, cancer, e2e, image"
37,5,0.758,"denoising, diffusion, age, dit, text, radar, image, identity"
38,8,0.798,"fusion, image, degradations, thermal, infrared, rgb, degradation, modal"
39,11,0.783,"restoration, diffusion, deblurring, image, blur, quality, event, region"
40,6,0.75,"restoration, degradation, image, water, denoising, compression, surface, images"
41,4,0.733,"imaging, spike, signal, light, optical, sensing, moe, range"
42,3,0.866,"rf, signals, volumetric, indoor, ray, radiance, 3d, home"
43,5,0.833,"spectral, reconstruction, pan, spatial, images, table, look, spectra"
44,10,0.787,"quantization, ptq, bit, compression, codebook, lossless, devices, vr"
45,9,0.756,"raw, tone, frequency, hdr, light, restoration, detection, low"
46,15,0.804,"image, generation, autoregressive, ar, video, models, visual, spatial"
47,18,0.779,"images, synthetic, generated, image, data, generative, detection, manifold"
48,5,0.824,"distillation, dataset, hyperbolic, distilled, student, matching, ot, clouds"
49,18,0.779,"diffusion, dits, repa, models, dit, distillation, teacher, training"
50,5,0.816,"audio, latent, diffusion, source, separation, instrument, upsampling, imputation"
51,6,0.787,"diversity, prompt, continuous, motion, matching, image, generator, ib"
52,7,0.799,"rf, latent, visualization, data, space, ft, slide, distributions"
53,9,0.788,"latent, image, latents, stage, generation, encoder, seg, segmentation"
54,16,0.793,"preference, diffusion, image, preferences, reward, human, editing, control"
55,13,0.838,"image, generation, grpo, rl, quality, visual, reasoning, cot"
56,10,0.778,"reward, regularization, image, generation, 3d, alignment, generative, models"
57,7,0.86,"editing, image, instructions, edits, instruction, text, structurally, rigid"
58,10,0.812,"inversion, editing, image, latent, noise, trajectory, diffusion, fidelity"
59,10,0.828,"resolution, image, high, quality, diffusion, text, resolutions, images"
60,12,0.816,"image, text, diffusion, layout, generation, dit, semantic, t2i"
61,14,0.816,"image, text, diffusion, generation, quality, generative, denoising, alignment"
62,6,0.855,"cad, geometric, parametric, parts, shape, emph, reasoning, local"
63,7,0.809,"editing, sketches, sketch, generation, style, creative, agent, ai"
64,5,0.793,"svg, cad, vector, splatting, panoptic, textit, curves, representation"
65,13,0.776,"texture, style, color, 3d, image, transfer, textures, stylized"
66,7,0.787,"identity, subject, personalization, image, character, facial, attributes, perceptual"
67,5,0.832,"try, vton, virtual, occlusions, video, images, smoothness, background"
68,6,0.836,"avatar, 3d, gaussian, head, appearance, facial, dynamic, motion"
