cluster,size,cohesion,top_terms
1,295,0.702,"3d, scene, view, object, reconstruction, scenes, spatial, depth"
2,962,0.642,"video, image, visual, models, generation, diffusion, model, text"
3,470,0.602,"diffusion, flow, models, neural, data, sampling, molecular, model"
4,156,0.698,"graph, node, graphs, gnns, nodes, networks, neural, learning"
5,691,0.601,"data, learning, model, time, models, training, performance, neural"
6,579,0.604,"training, optimization, attention, gradient, learning, model, models, convergence"
7,236,0.662,"adversarial, attacks, safety, attack, models, model, text, watermark"
8,575,0.541,"data, causal, privacy, algorithm, learning, fairness, problem, algorithms"
9,875,0.662,"reasoning, llms, models, language, model, llm, large, tasks"
10,447,0.663,"policy, learning, regret, rl, agent, reward, action, offline"
